Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,Division,Conference
1986-87,NHL,Los Angeles Kings*,80,31,41,8,,70,0.438,-0.2,0.09,4th of 5,Lost NHL Division Semi-Finals,"P. Quinn (18-20-4), M. Murphy (13-21-4)",Smythe,Clarence Campbell
1985-86,NHL,Los Angeles Kings,80,23,49,8,,54,0.338,-1.26,0.05,5th of 5,,P. Quinn (23-49-8),Smythe,Clarence Campbell
1984-85,NHL,Los Angeles Kings*,80,34,32,14,,82,0.513,0.23,0.06,4th of 5,Lost NHL Division Semi-Finals,P. Quinn (34-32-14),Smythe,Clarence Campbell
1983-84,NHL,Los Angeles Kings,80,23,44,13,,59,0.369,-0.76,0.08,5th of 5,,"D. Perry (14-27-9), R. Vachon (1-0-1), R. Neilson (8-17-3)",Smythe,Clarence Campbell
1982-83,NHL,Los Angeles Kings,80,27,41,12,,66,0.413,-0.62,0.09,5th of 5,,D. Perry (27-41-12),Smythe,Clarence Campbell
1981-82,NHL,Los Angeles Kings*,80,24,41,15,,63,0.394,-0.68,0.01,4th of 5,Lost NHL Division Finals,"P. MacDonald (13-24-5), D. Perry (11-17-10)",Smythe,Clarence Campbell
1980-81,NHL,Los Angeles Kings*,80,43,24,13,,99,0.619,0.56,-0.03,2nd of 5,Lost NHL Preliminary Round,B. Berry (43-24-13),Norris,Prince of Wales
1979-80,NHL,Los Angeles Kings*,80,30,36,14,,74,0.463,-0.27,0.01,2nd of 5,Lost NHL Preliminary Round,B. Berry (30-36-14),Norris,Prince of Wales
1978-79,NHL,Los Angeles Kings*,80,34,34,12,,80,0.5,0.09,0.02,3rd of 5,Lost NHL Preliminary Round,B. Berry (34-34-12),Norris,Prince of Wales
1977-78,NHL,Los Angeles Kings*,80,31,34,15,,77,0.481,-0.01,0.01,3rd of 5,Lost NHL Preliminary Round,R. Stewart (31-34-15),Norris,Prince of Wales
1976-77,NHL,Los Angeles Kings*,80,34,31,15,,83,0.519,0.38,0,2nd of 5,Lost NHL Quarter-Finals,B. Pulford (34-31-15),Norris,Prince of Wales
1975-76,NHL,Los Angeles Kings*,80,38,33,9,,85,0.531,-0.01,0.02,2nd of 5,Lost NHL Quarter-Finals,B. Pulford (38-33-9),Norris,Prince of Wales
1974-75,NHL,Los Angeles Kings*,80,42,17,21,,105,0.656,0.97,-0.08,2nd of 5,Lost NHL Preliminary Round,B. Pulford (42-17-21),Norris,Prince of Wales
1973-74,NHL,Los Angeles Kings*,78,33,33,12,,78,0.5,0.03,0,3rd of 8,Lost NHL Quarter-Finals,B. Pulford (33-33-12),West,
1972-73,NHL,Los Angeles Kings,78,31,36,11,,73,0.468,-0.17,0,6th of 8,,B. Pulford (31-36-11),West,
1971-72,NHL,Los Angeles Kings,78,20,49,9,,49,0.314,-1.18,0.09,7th of 7,,"L. Regan (2-7-1), F. Glover (18-42-8)",West,
1970-71,NHL,Los Angeles Kings,78,25,40,13,,63,0.404,-0.76,0.06,5th of 7,,L. Regan (25-40-13),West,
1969-70,NHL,Los Angeles Kings,76,14,52,10,,38,0.25,-1.54,0.06,6th of 6,,"H. Laycoe (5-18-1), J. Wilson (9-34-9)",West,
1968-69,NHL,Los Angeles Kings*,76,24,42,10,,58,0.382,-0.98,0.01,4th of 6,Lost NHL Semi-Finals,R. Kelly (24-42-10),West,
1967-68,NHL,Los Angeles Kings*,74,31,33,10,,72,0.486,-0.53,-0.21,2nd of 6,Lost NHL Quarter-Finals,R. Kelly (31-33-10),West,
